AGE1,BURDEN,FMR,FMTBEDRMS,FMTBUILT,TOTSAL
46,0.390795874,878,'3 3BR','1990-1999',58000
33,0.1712467613,782,'2 2BR','1980-1989',74515
29,0.2409802587,601,'1 1BR','2000-2009',47000
53,0.2871555426,782,'2 2BR','1980-1989',11000
62,0.1701691929,1806,'3 3BR','1990-1999',168000
32,0.2143997651,964,'2 2BR','2000-2009',109000
76,552,1185,'3 3BR','1980-1989',0
47,0.4658040665,1082,'4 4BR+','2000-2009',0
-9,-9,1020,'3 3BR','2000-2009',-9
46,0.1566821112,1073,'4 4BR+','2000-2009',110000
49,0.0946373592,973,'3 3BR','2000-2009',125000
42,0.1467708806,1020,'3 3BR','2000-2009',75000
61,0.1931013931,1398,'4 4BR+','1980-1989',94000
43,0.0878971413,1573,'4 4BR+','2000-2009',250000
80,0.1143899658,1343,'3 3BR','2000-2009',0
33,0.2774480467,1573,'4 4BR+','2000-2009',121000
77,0.4128321197,973,'3 3BR','1980-1989',1800
25,1.3248705529,669,'2 2BR','1980-1989',6000
21,0.1248784283,796,'2 2BR','1990-1999',72000
62,0.5623636364,1394,'3 3BR','2000-2009',0
67,0.1919502075,1119,'2 2BR','2000-2009',30000
63,0.2594877005,1119,'2 2BR','2000-2009',51918
24,0.0612669773,741,'2 2BR','1980-1989',20200
39,-1,741,'2 2BR','1980-1989',0
30,1424,1621,'2 2BR','1990-1999',6000
36,0.2239122562,1105,'3 3BR','2000-2009',58000
43,0.2372903226,1239,'3 3BR','2000-2009',53000
